A,B,C,D,E,F,Sector,Industry,I,L,M,N,O,P,Q,R,S,Company
166380,9.2,9427,221690,-2.7,225000,Motor Vehicles and Parts,Motor Vehicles & Parts,23,225000,166380,9427,221690,43836,5.7,4.3,21.5,General Motors
163786,11.6,12976,403821,-2.8,268540,Telecommunications,Telecommunications,23,268540,163786,12976,403821,123135,7.9,3.2,10.5,AT&T
154894,1.5,651.3,186172,-21.1,302562,Diversified Financials,Financials,7,302562,154894,651.3,186172,11582,0.4,0.3,5.6,EXOR Group
151800,1.5,4596,237951,-37.7,201000,Motor Vehicles and Parts,Motor Vehicles & Parts,23,201000,151800,4596,237951,29170,3,1.9,15.8,Ford Motor
147675,-11.7,41883.9,3473238,-5,461749,Banks: Commercial and Savings,Financials,19,461749,147675,41883.9,3473238,283438,28.4,1.2,14.8,Industrial & Commercial Bank of China
146850,8,1427.9,33656,,18500,Wholesalers: Health Care,Wholesalers,18,18500,146850,1427.9,33656,2129,1,4.2,67.1,AmerisourceBergen
144505,3.1,2492.9,201269,10.7,263915,"Engineering, Construction",Engineering & Construction,6,263915,144505,2492.9,201269,15344,1.7,1.2,16.2,China State Construction Engineering
143722,11.2,6446,941556,3.5,97707,"Insurance: Life, Health (stock)",Financials,23,97707,143722,6446,941556,74454,4.5,0.7,8.7,AXA
135987,27.1,2371,83402,297.8,341400,Internet Services and Retailing,Technology,9,341400,135987,2371,83402,19285,1.7,2.8,12.3,Amazon.com
135129,-4.3,4608.8,80436,-0.4,726772,"Electronics, Electrical Equip.",Technology,13,726772,135129,4608.8,80436,33476,3.4,5.7,13.8,Hon Hai Precision Industry
135093,-8.7,34840.9,3016578,-4,362482,Banks: Commercial and Savings,Financials,18,362482,135093,34840.9,3016578,226851,25.8,1.2,15.4,China Construction Bank
129198,6.2,5690.3,170165,98.3,211915,Motor Vehicles and Parts,Motor Vehicles & Parts,23,211915,129198,5690.3,170165,65482,4.4,3.3,8.7,Honda Motor
127925,-10.8,6196,230978,21.8,102168,Petroleum Refining,Energy,23,102168,127925,6196,230978,98680,4.8,2.7,6.3,Total
126661,-9.8,8831,365183,,295000,Industrial Machinery,Industrials,23,295000,126661,8831,365183,75828,7,2.4,11.6,General Electric
125980,-4.3,13127,244180,-26.6,160900,Telecommunications,Telecommunications,23,160900,125980,13127,244180,22524,10.4,5.4,58.3,Verizon
122990,3.6,-267.4,2631385,-107.5,248384,"Insurance: Life, Health (stock)",Financials,21,248384,122990,-267.4,2631385,91532,-0.2,,-0.3,Japan Post Holdings
122196,-0.6,7611.5,932091,3.7,140253,Insurance: Property and Casualty (Stock),Financials,23,140253,122196,7611.5,932091,71020,6.2,0.8,10.7,Allianz
121546,18.5,1427,34122,17.4,37300,Wholesalers: Health Care,Wholesalers,20,37300,121546,1427,34122,6554,1.2,4.2,21.8,Cardinal Health
118719,2.2,2350,33163,-1.1,172000,General Merchandisers,Retailing,23,172000,118719,2350,33163,12079,2,7.1,19.5,Costco
117351,13.4,4173,72688,-1.1,300000,Food and Drug Stores,Food & Drug Stores,23,300000,117351,4173,72688,29880,3.6,5.7,14,Walgreens Boots Alliance
117275,-12.1,27687.8,2816039,-3.6,501368,Banks: Commercial and Savings,Financials,18,501368,117275,27687.8,2816039,189682,23.6,1,14.6,Agricultural Bank of China
116581,5.7,9392,802490,8.9,318588,"Insurance: Life, Health (stock)",Financials,8,318588,116581,9392,802490,55177,8.1,1.2,17,Ping An Insurance
115337,5,1975,36505,-3.1,443000,Food and Drug Stores,Food & Drug Stores,23,443000,115337,1975,36505,6698,1.7,5.4,29.5,Kroger
113861,6.7,4818.2,84989,1.6,97582,Motor Vehicles and Parts,Motor Vehicles & Parts,6,97582,113861,4818.2,84989,27617,4.2,5.7,17.4,SAIC Motor
113708,-7.1,24773.4,2611539,-8.9,308900,Banks: Commercial and Savings,Financials,23,308900,113708,24773.4,2611539,203134,21.8,0.9,12.2,Bank of China
109026,-2.2,8517.2,2190423,14.7,184839,Banks: Commercial and Savings,Financials,23,184839,109026,8517.2,2190423,106164,7.8,0.4,8,BNP Paribas
108164,6.5,6123.4,165344,40.3,137250,Motor Vehicles and Parts,Motor Vehicles & Parts,23,137250,108164,6123.4,165344,50550,5.7,3.7,12.1,Nissan Motor
107567,-18,-497,260078,-110.8,55200,Petroleum Refining,Energy,23,55200,107567,-497,260078,145556,-0.5,-0.2,-0.3,Chevron
